"organid"	"aids"	"pitch"	"temperature"	"range1"	"range2"	"windSys"	"windPres"	"consoleLoc"
"Part11_109Spijk"	"klavierkoppel
afsluitingen HW, BW
tremulant
windmachine"	"a1 = 436 Hz"	"evenredig zwevend"	"C-g3"	"C-d1"	"magazijnbalg"	"72 mm"	"linkerzijde"
"Part11_094Sweykhuizen"	""	"a1 = 442 Hz"	"evenredig zwevend"	"C-g3"	"C-f"	"magazijnbalg (1883)"	"80 mm"	"linkerzijde"
"Part11_053Vlissingen"	"koppelingen HW-DW, Ped-HW, Ped-DW"	"a1 = 435 Hz"	"evenredig zwevend"	"C-f3"	"C-c1"	"magazijnbalg"	"72 mm"	"rechterzijde"
"Part11_050Oudewater"	"windzicht"	"a1 = 440 Hz"	"Vallotti"	"C-f3"	""	"magazijnbalg met twee schepbalgen en treden"	"63 mm"	"voorzijde"
"Part11_069Diever"	"tremulant"	"a1 = 440 Hz"	"evenredig zwevend"	"C-f3"	"C-d1"	"magazijnbalg"	"84 mm"	"linkerzijde"
"Part11_063Vlierden"	"manuaalkoppel"	"a1 = 440 Hz"	"evenredig zwevend"	"C-f3"	"C-d1"	"magazijnbalg met regulateur (1884)"	"75 mm"	"rechterzijde"
"Part11_073Haarlem"	"manual coppel, pedal coppel
windauslass
calcant"	"a1 = 446 Hz"	"evenredig zwevend"	"C-f3"	"C-d1"	"magazijnbalg (1882)"	"62 mm"	"voorzijde"
"Part11_085Augustinusga"	"manuaal coppel
tremulant"	"a1 = 435 Hz"	"evenredig zwevend"	"C-f3"	"C-d1"	"magazijnbalg met twee schepbalgen en handpomp"	"nog niet vastgesteld"	"linkerzijde"
"Part11_104Kootstertille"	"manuaal coppel
ventiel (loze knop)"	"a1 = 435 Hz"	"evenredig zwevend"	"C-f3"	"C-d1"	"kleine magazijnbalg"	"82 mm"	"linkerzijde"
"Part11_013Wijtgaard"	"ventiel"	"a1 = 440 Hz"	"evenredig zwevend"	"C-f3"	"C-g"	"magazijnbalg"	"71 mm"	"linkerzijde"
"Part11_044Vorstenbosch"	"koppelingen HW-OP, Ped-HW"	"a1 = 435 Hz"	"evenredig zwevend"	"C-g3"	"C-c1"	"magazijnbalg met twee schepbalgen en een schokbalg (1880)"	"85 mm"	"linkerzijde"
"Part11_020Doornspijk"	"manuaalkoppel, pedaalkoppel (trede, naar keuze aan HW of NW)
tremulant
ventiel
calcant (motorschakelaar)"	"a1 = 440 Hz"	"evenredig zwevend"	"C-f3"	"C-d1"	"magazijnbalg met twee schepbalgen (1879)"	"95 mm"	"rechterzijde"
"Part11_030Voorburg"	"koppelingen HW-NW, Ped-HW, Ped-NW
tremulant NW"	"a1 = 440 Hz"	"evenredig zwevend"	"C-f3"	"C-d1"	"magazijnbalg met twee schepbalgen (1879)"	"mm"	"linkerzijde"
"Part11_015AmsterdamBernardus"	"appel et renvoi de la Trompette"	"a1 = 440 Hz"	"evenredig zwevend"	"C-f3"	"C-g"	"magazijnbalg met inspringende vouw en schepbalg en regulateur met uitspringende vouw (1879)"	"88 mm"	"rechterzijde"
"Part11_072Ede"	"klavierkoppel, pedaalkoppel
tremolo"	"a1 = 445 Hz"	"evenredig zwevend"	"C-f3"	"C-f1"	"magazijnbalg met twee schepbalgen, regulateur en pompinstallatie (1882)"	"84 mm"	"linkerzijde"
"Part11_099Winschoten"	"koppelingen HW-NW, Ped-HW
tremulant"	"a1 = 435 Hz"	"evenredig zwevend"	"C-f3"	"C-d1"	"magazijnbalg"	"80 mm"	"linkerzijde"
"Part11_111Warstiens"	"twee combinatietreden
ventiel"	"a1 = 437 Hz"	"evenredig zwevend"	"C-f3"	"C-c1"	"magazijnbalg met twee schepbalgen en handpomp (1884)"	"84 mm"	"linkerzijde"
"Part11_067Alblasserdam"	"koppelingen HW-BW, Ped-HW
tremulant BW"	"a1 = 442 Hz"	"evenredig zwevend"	"C-f3"	"C-d1"	"magazijnbalg (1882)"	"70 mm"	"rechterzijde"
"Part11_101Amersfoort"	"koppelingen HW-BW, Ped-HW"	"a1 = 438 Hz"	"evenredig zwevend"	"C-f3"	"C-d1"	"magazijnbalg met twee regulateurs"	"HW en BW 87 mm, Ped 92 mm"	"rechterzijde"
"Part11_032Wirdum"	"windlosser
nihil (loze knop)"	"a1 = 440 Hz"	"evenredig zwevend"	"C-f3"	"C-a"	"magazijnbalg (1879)"	"85 mm"	"linkerzijde"
"Part02_067KAMPE"	"koppelingen HW-OP, Ped-HW
tremulant
twee afsluiters"	"1/4 toon boven a1 = 440 Hz"	"evenredig zwevend"	"C-c3"	"C-d1"	"vier spaanbalgen"	"70 mm"	"voorzijde"
"Part02_061OIRSC"	""	"a1 = 435 Hz"	"evenredig zwevend"	"C-c3"	""	"twee spaanbalg (waarvan één in werking)"	"77 mm"	"achterzijde (oorspronkelijk voorzijde)"
"Part02_131BATEN"	"ventiel"	"a1 = 415 Hz"	"evenredig zwevend"	"C-d3"	"C-f"	"magazijnbalg"	"72 mm"	"achterzijde"
"Part02_094OISTE"	""	"a1 = 440 Hz"	"evenredig zwevend"	"C-d3"	"C-f"	"magazijnbalg, mechanisch bedienbaar"	"66 mm"	"voorzijde"
"Part02_013MAASS"	"koppelingen HW-RP, HW-BW, Ped-HW, Ped-RP, Ped-BW
tremulanten Rp en BW"	"a1 = 440 Hz"	"evenredig zwevend"	"C-g3"	"C-f1"	"magazijnbalg, HW twee balgen en twee schokbrekers, RP één balg en schokbreker, BW één balg en schokbreker, Ped twee balgen en twee schokbrekers"	"magazijnbalg 115 mm, Bazuin 32' 110 mm, HW 90 mm, RP 90 mm, BW 85 mm, Ped 95 mm"	"voorzijde hoofdkas"
"Part02_124DENHE"	"tremulant"	"a1 = 440 Hz"	"evenredig zwevend"	"C-d3"	"C-f"	"magazijnbalg"	"56 mm"	"achterzijde"
"Part02_100MIDDE"	"tremulant"	""	""	"C-d3"	"C-d1"	""	""	""
"Part02_076BEVER"	"koppelingen HW-BW B/D, Ped-HW
tremulant"	"a1 = 415 Hz"	"Kirnberger"	"C-c3"	"C-c1"	"twee spaanbalgen"	"78 mm"	"voorzijde"
"Part02_070BENSC"	"tremulant
ventiel"	"a1 = 435 Hz"	"evenredig zwevend"	"C-c3"	"C-c"	"regulateurbalg"	"73 mm"	"voorzijde"
"Part02_037HEILO"	""	"a1 = 440 Hz"	"evenredig zwevend"	"C-g3"	"C-f1"	"magazijnbalg in onderkas"	"70 mm"	"achterzijde"
"Part02_093KRIMP"	"tremulant RW"	"a1 = 440 Hz"	"evenredig zwevend"	"C-f3"	"C-d1"	"twee magazijnbalgen"	"70 mm"	"voorzijde hoofdkas"
"Part02_087ADAMH"	"tremulant
afsluiter"	"a1 = 1/4 toon boven 440 Hz"	"evenredig zwevend"	"C-d3"	""	"magazijnbalg"	"50 mm"	"voorzijde"
"Part02_060MEEDE"	"tremulant (verwijderd)
afsluiter (verwijderd)
windlosser"	"a1 = 460 Hz"	"restant oude stemming in 1971 door Klaas Bolt opgenomen, thans niet meer controleerbaar door verval"	"C-c3"	"C-d1"	"magazijnbalg"	"thans niet meer controleerbaar"	"voorzijde"
"Part02_005STANN"	"pedaalkoppel, suboctaafkoppel, superoctaafkoppel
tremulant
vaste combinatie"	"n.v.t."	"n.v.t."	"n.v.t"	"n.v.t."	"magazijnbalg"	"n.v.t."	"n.v.t."
"Part02_123ADAM"	"tremulant"	"a1 = 423 Hz"	"evenredig zwevend"	"C-f3"	""	"magazijnbalg"	"55 mm"	"voorzijde"
"Part02_062ADAM"	"koppelingen GO-SwO, Sub.koppeling GO-SwO, Sup.koppeling GO-SwO, Ped-GO, SwO-Ped, Sub.koppeling Ped-SwO"	"a1 = 440 Hz"	"evenredig zwevend"	"C-c4"	"C-f1"	"magazijnbalg"	"niet gemeten"	"rechterzijde"
"Part02_032LEEUW"	"koppelingen HW-NW, Ped-HW"	"a1 = 440 Hz"	"evenredig zwevend"	"C-c3"	"C-d1"	"magazijnbalg, regulateurbalg"	"60 mm"	"voorzijde"
"Part02_125SEXBI"	"koppelingen HW-ZwW, Ped-HW
tremulant
ventiel"	"a1 = 435 Hz"	"evenredig zwevend"	"C-f3"	"C-d1"	"magazijnbalg"	"niet te meten (orgel buiten gebruik)"	"voorzijde hoofdkas"
"Part02_071SCHAY"	""	"a1 = 435 Hz"	"evenredig zwevend"	"C-f3"	""	"spaanbalg (Vermeulen)"	"69 mm"	"achterzijde"
"Part02_018TEEFF"	"koppeling HW-Pos B/D
ventiel"	"a1 = 435 Hz"	"evenredig zwevend"	"C-f3"	""	"magazijnbalg"	"60 mm"	"achterzijde"
"Part02_007SPRAN"	"koppelingen HW-OP B/D, Ped-HW
tremulant"	"a1 = 440 Hz"	"evenredig zwevend"	"C-c3"	"C-d1"	"rolbalg, regulateur voor OP, HW en Ped flexibele lade-bodems"	"90 mm"	"voorzijde"
"Part02_103EGMBI"	"tremulant"	"a1 = 392 Hz"	"niet vast te stellen"	"C-d3"	""	"magazijnbalg"	"wegens slechte staat niet meetbaar"	"voorzijde"
"Part02_106UTRGE"	"tremulant"	"a1 = ca 440 Hz"	"evenredig zwevend"	"C-d3"	""	"magazijnbalg (van Vulpen)"	"67 mm"	"voorzijde"
"Part02_059VREEL"	""	"a1 = 440 Hz"	"evenredig zwevend"	"C-c3"	""	"magazijnbalg"	"67 mm"	"achterzijde"
"Part02_040HEERE"	"koppeling HW-Pos"	"a1 = 440 Hz"	"evenredig zwevend"	"C-f3"	"C-g"	"magazijnbalg"	"76 mm"	""
"Part02_084HAARL"	"ventiel"	"a1 = 435 Hz"	"evenredig zwevend"	"C-c3"	""	"magazijnbalg met schepbalg"	"52 mm"	"voorzijde"
"Part02_078NIJME"	"koppelingen I-II, Suboctaafkoppel I-II, Superoctaafkoppel I-II, Ped-II
tremulant Man. II
drukknoppen voor vier vaste combinaties (P, MF, F, Tutti; oplosser)"	"a1 = 440 Hz"	"evenredig zwevend"	"C-g3"	"C-f1"	"magazijnbalg"	"85 mm"	"vrijstaande speeltafel"
"Part02_107BREDA"	""	"a1 = 406 Hz"	"vrijwel middentoon"	"HW C-d3, OP C-f3"	"C-d1"	"twee magazijnbalgen"	"72mm"	"voorzijde"
"Part02_031HOOGK"	""	"a1 = 410 Hz"	"gemodificeerde middentoon"	"C-c3"	""	"magazijnbalg (N.A. van Dam)"	"62 mm"	"achterzijde"
"Part02_122OENE"	"ventiel"	"a1 = 435 Hz"	"evenredig zwevend"	"C-d3"	"C-f"	"twee spaanbalgen"	"71 mm"	"rechterzijde"
"Part02_033MORRA"	"afsluiter"	"a1 = 427 Hz"	"evenredig zwevend"	"C-f3"	"C-h"	"magazijnbalg"	"60 mm"	"voorzijde"
"Part02_127WINSC"	"ventiel (niet meer in gebruik, klepje los bij orgel bewaard)"	"a1 = 430 Hz"	"Werckmeister III"	"C-f3"	""	"magazijnbalg"	"52 mm"	"voorzijde"
"Part02_113KRABB"	"koppeling HW-BW"	"a1 = 440 Hz"	"evenredig zwevend"	"C-f3"	"C-g"	"magazijnbalg"	"78 mm"	"linkerzijde"
"Part02_120DEPOL"	"ventiel"	"a1 = 421 Hz"	"evenredig zwevend"	"C-d3"	"C-es"	"magazijnbalg"	"63 mm"	"voorzijde"
"Part02_047LEIDE"	"koppeling HW-BW
tremulant BW"	"a1 = 415 Hz"	"Kirnberger/Bolt"	"C-c3"	"C-c1"	"drie spaanbalgen (Flentrop)"	"64 mm"	"achterzijde"
"Part02_095SCHER"	""	"a1 = 440 Hz"	"evenredig zwevend"	"C-c3"	"C-g"	"magazijnbalg"	"75 mm"	""
"Part02_088BLOEM"	"koppelingen HW-OP, Ped-HW
tremulant
transpositie-inrichting voor manualen en pedaal"	"a1 = 415 Hz (verschuifbaar naar a1 = 440 Hz)"	"Neidhardt I"	"C-e3"	"C-d1"	"twee spaanbalgen"	"HW en OP 68 mm, Ped 72 mm"	"achterzijde"
"Part02_057STEEN"	"Ventiel"	"a1 = ca 435 Hz"	"evenredig zwevend"	"C-f3"	"C-c1"	"magazijnbalg"	"78 mm"	"linkerzijde"
"Part02_133NOOTD"	"tremulant
afsluiter"	"ca 1/4 toon onder a1 = 440 Hz"	"evenredig zwevend"	"C-e3"	"C-a"	"drie spaanbalgen"	"75 mm"	"achterzijde"
"Part02_016LEIDE"	"koppelingen HW-BW, HW-BoW, Ped-HW
tremulant BoW"	"a1 = 440 Hz"	"evenredig zwevend"	"C-f3"	"C-f1"	"magazijnbalg"	"91 mm"	"voorzijde"
"Part02_028UTREC"	"koppelingen HW-RP, HW-Ped, Rp-Ped"	"a1 = 440 Hz"	"evenredig zwevend"	"C-c3"	"C-d1"	"magazijnbalg"	"68 mm"	"voorzijde hoofdkas"
"Part02_024LATHU"	"tremulant"	"a1 = 440 Hz"	"evenredig zwevend"	"C-c3"	""	"meervouwige schepbalg"	"58 mm"	"voorzijde"
"Part02_045NIEUW"	"koppeling Ped-Man
tremulant
ventiel"	"a1 = 442 Hz"	"evenredig zwevend"	"C-c3"	"C-d1"	"magazijnbalg (Weidtman)"	"67 mm"	"voorzijde"
"Part02_086ZUIDS"	"tremulant"	"a1 = 428 Hz"	"evenredig zwevend"	"C-c3"	""	"magazijnbalg"	"57 mm"	"achterzijde"
"Part02_104GRAVE"	"koppelingen HW-RP B/D, HW-BW B/D, Ped-Hw
transpositeur ZwW*, koppel ZwWpedaal-ZwW, combinatie (= tutti ZwW)
tremulanten HW, RP, BW, ZwW
afsluiters HW, RP, BW, Ped
ventiel
* de transpositeur verlegt de klank van het ZwW één octaaf omhoog, de lade is uitgebouwd tot c4"	"a1 = 435 Hz"	"evenredig zwevend"	"C-c3"	"C-c1"	"zeven spaanbalgen (vier op de windmachine aangesloten)"	"87 mm"	"voorzijde hoofdkas"
"Part02_030CASTR"	""	"iets boven a1 = 415 Hz"	"evenredig zwevend"	"C-c3"	""	"magazijnbalg (Flentrop)"	"56 mm"	"voorzijde"
"Part02_003WESTE"	"tremulant
afsluiter"	"a1= 440 Hz"	"Neidhardt III"	"C-c3"	"C-d"	"drie spaanbalgen"	"72 mm"	"voorzijde"
"Part02_041PURME"	"koppelingen HW-RP, RP-HW, HW-BoW, Ped-HW
tremulanten HW (1742), BoW
afsluiters HW, RP, BoW, Ped
ventiel"	"a1 = 460 Hz"	"evenredig zwevend"	"C-c3"	"C-d1"	"drie spaanbalgen (1703, 1742), magazijnbalg (1928)"	"vóór 1947 90 mm, 1976 75 mm"	"voorzijde hoofdkas"
"Part02_064ALMEL"	"koppelingen HW-RP, HW-BoW, Ped-HW, Ped-RP
tremulanten RP, BoW"	"a1 = 440 Hz"	"evenredig zwevend"	"C-g3"	"C-f1"	"regulateurs"	""	"voorzijde hoofdkas"
"Part02_051GROET"	""	"iets onder a1 = 440 Hz"	"evenredig zwevend"	"C-c3"	""	"magazijnbalg"	"78 mm"	"achterzijde"
"Part02_019BURGW"	"Koppelingen HW-NW, Ped-I, Ped-II"	"a1 = 440 Hz"	"evenredig zwevend"	"C-g3"	"C-f1"	"magazijnbalg"	"68 mm"	""
"Part02_021GOUDA"	"koppelingen HW-RP, HW-BW, RP-HW, Ped-HW, Ped-RP
tremulanten RP, BW"	"a1 = 446 Hz"	"evenredig zwevend"	"C-d3"	"C-e1"	"acht spaanbalgen (Moreau)"	"86 mm"	"voorzijde hoodfkas"
"Part02_056RUURL"	""	""	""	""	""	""	""	""
"Part02_001AMSTE"	"koppelingen HW-RP, RP-HW, HW-BW, Ped-HW
tremulanten HW, RP, BW
vier afsluiters    
ventiel
calcant"	"a1 = 465 Hz"	"evenredig zwevend"	"C-c3"	"C-d1"	"acht spaanbalgen (J.C. Müller)"	"94 mm (bij Witte 91 mm)"	"voorzijde hoofdkas"
"Part02_058STEVE"	"koppelingen HW-ZwW, HW-ZwW 4', HW-ZwW 16', Ped-Hw, Ped-ZwW,
vier vaste combinaties, één vrije combinatie"	"a1 = 440 Hz"	"evenredig zwevend"	"C-g3"	"C-f1"	"magazijnbalg"	""	"vrijstaande speeltafel"
"Part02_068WIJKA"	""	"a1 = 415 Hz"	"evenredig zwevend"	"HW C-c3, OW C-f3"	"C-g"	"magazijnbalg"	"66 mm"	"linkerzijde"
"Part02_119AMERS"	"koppeling HW-Pos"	"a1 = 423 Hz"	"evenredig zwevend"	"C-d3"	"C-c"	"twee spaanbalgen"	"73 mm"	"achterzijde hoofdkas"
"Part02_035GRAVH"	""	""	"middentoon"	""	""	"twee spaanbalgen"	""	"voorzijde"
"Part02_099BODEG"	"koppelingen HW-ZwW, Ped-HW, Ped-ZwW"	"a1 = 440 Hz"	"evenredig zwevend"	"C-g3"	"C-f1"	"regulateurs"	"HW 82 mm, ZwW 76 mm, Ped 87 mm"	"voorzijde"
"Part02_089DECOC"	"ventiel"	"a1 = 435 Hz"	"evenredig zwevend"	"C-f3"	""	"magazijnbalg"	""	"rechterzijde"
"Part02_085MIDDE"	"Tremblant"	"a1 = 415 Hz"	"Kirnberger III"	"C-c3"	""	"spaanbalg"	"68mm"	"voorzijde"
"Part02_135OVERL"	""	"435 Hz"	"evenredig zwevend"	"C- f3"	"C-d1"	"magazijnbalg"	"73 mm"	"voorzijde"
"Part02_130WASSE"	"koppelingen HW-RP B/D, Ped-HW, Ped-Rp
tremulant RP"	"a1 = 415 Hz"	"Werckmeister III"	"HW C-d3, RP C-f3"	"C-d1"	"Schwimmerbalg"	"68 mm"	"voorzijde hoofdkas"
"Part02_055NIJME"	""	"a1 = 435 Hz"	"evenredig zwevend"	"C-c3"	""	"magazijnbalg"	"58 mm"	"voorzijde"
"Part02_117MAAST"	"tremblant"	"a1 = 435 Hz"	"variant op Chaumont"	"CD-d3"	"CD-f"	"magazijnbalg"	"72 mm"	"voorzijde"
"Part02_114SCHEV"	"Koppelingen HW-BW, Ped-HW, Ped-BW
tremulant"	"a1 ="	"evenredig zwevend"	"C-f3"	"C-f1"	"magazijnbalg"	"85 mm"	"achterzijde hoofdkas"
"Part02_039GRONI"	"tremulant"	"a1 = 440 Hz"	"evenredig zwevend"	"CD-g3"	"C-d1"	"magazijnbalg"	"thans niet meetbaar, (65 mm in 1939)"	"voorzijde"
"Part02_053KOUDE"	"ventiel"	"a1 = 440 Hz"	""	"C-c3"	"C-"	""	""	"voorzijde"
"Part02_116VAALS"	"tremulant"	"a1 = 440 Hz"	"evenredig zwevend"	"C-f3, sprekend tot en met c3"	"C-c"	"magazijnbalg"	""	"achterzijde"
"Part02_097VELP"	""	"a1 = 440 Hz"	"evenredig zwevend"	"C-f3"	"C-d1"	"magazijnbalg"	"68 mm"	"linkerzijde"
"Part02_132HAREN"	"koppelingen HW-RP, Ped-HW, Ped-BoW
tremulant (pneumatisch)"	"a1 = ca 440 Hz"	"evenredig zwevend"	"C-c3"	"C-d1"	"magazijnbalg"	"58 mm"	"voorzijde hoofdkas"
"Part02_014EEXTA"	"tremulant"	"a1 = ca 466 Hz"	"evenredig zwevend met enkele aanpassingen"	"C-f3"	"C-d1"	"twee spaanbalgen"	"75 mm"	"rechterzijde"
"Part02_112KATWZ"	"koppelingen HW-OP B/D, Ped-HW
tremulant gehele orgel"	"a1 = 424 Hz"	"evenredig zwevend"	"C-d3"	"C-c1"	"twee spaanbalgen"	"67 mm"	"achterzijde"
"Part02_098WILNI"	"koppelingen Man I-Man II, Sub Octaafkoppel I-II, Sup Octaafkoppel I-II, Ped-Man I
tremulant
drukknoppen voor vijf vaste combinaties (PP, P, MF, F, T; oplosser)"	"a1 = 440 Hz"	"evenredig zwevend"	"C-f3"	"C-d1"	"magazijnbalg"	"84 mm"	"linkerzijde"
"Part02_066HEEMS"	"tremulant"	"a1 = 425 Hz"	"Kirnberger/Bolt"	"C-c3"	"C-d1"	"twee spaanbalgen (waarvan één oud)"	"69 mm"	"voorzijde"
"Part02_023MAAST"	"koppelingen Go-Pos, Pos-Echo, Péd-GO, Péd-Pos, Accouplement Péd. Séparée (voor inschakelen pedaalmechaniek), zweltrede Pos en Echo"	"a1 = ca 440 Hz"	"evenredig zwevend"	"C-g3"	"C-f1"	"magazijnbalg"	"85 mm"	"voorzijde"
"Part02_008HOLYS"	"ventiel
tremulant"	"a1 = 440 Hz"	"nog niet vastgesteld"	"C-c3"	"C-e"	"spaanbalg"	"nog niet vastgesteld"	""
"Part02_096SPAAR"	""	"a1 = 440 Hz"	"evenredig zwevend"	"CD-c3"	""	"magazijnbalg"	"76 mm"	""
"Part02_077NIJKE"	"koppelingen HW-RP, Ped-HW, Ped-RP
tremulant RP
afsluiter RP
ventiel"	"a1 = 415 Hz"	"evenredig zwevend"	"C-c3"	"C-d1"	"vier spaanbalgen"	"78 mm"	"voorzijde hoofdkas"
"Part02_063OOSTE"	""	"a1 = 440 Hz"	"evenredig zwevend"	"C-c3"	"C-d1"	"magazijnbalg met schepbalgen"	"82 mm"	"achterzijde"
"Part02_036HASKE"	"tremulant
afsluiter"	"a1 = 427 Hz"	"1/6 komma middentoon"	"C-c3"	"C-f"	"magazijnbalg"	"68 mm"	"zijde"
"Part02_006ILPEN"	"koppelingen HW-OP, OP-HW
tremulant
twee afsluiters
windlozer"	"a1 = 455 Hz"	"evenredig zwevend"	"C-f3"	"C-d1"	"magazijnbalg"	"90 mm"	"achterzijde"
"Part02_049BAARL"	"koppeling HW-NW B/D
tremblant
ventil"	"a1 = 435 Hz (voor demontage)"	"evenredig zwevend"	"C-d3"	"C-g"	"magazijnbalg"	"68 mm (voor demontage)"	"voorzijde"
"Part02_091GAPIN"	"tremulant"	"a1 = 420 Hz"	"Werckmeister III"	"C-c3"	""	"magazijnbalg"	"63 mm"	"voorzijde"
"Part02_043BERGH"	"koppelingen HW-RP (schuifkoppel), Ped-HW
opliggende tremulant 
ventiel (= inschakelbare schokbalg)"	"a1 = ca 465 Hz"	"Werckmeister III"	"C-c3"	"C-d1"	"één spaanbalg"	"73 mm"	"voorzijde hoofdkas"
"Part02_012BROEK"	"ventiel
combinatietrede"	"a1 ="	"evenredig zwevend"	"C-f3"	"C-f"	"magazijnbalg"	""	""
"Part02_126WASPI"	"koppeling HW-OP
Tremulant"	"a1 = 440 Hz"	"evenredig zwevend"	"C-d3"	"C-c1"	""	"70 mm"	"achterzijde"
"Part02_015LEENS"	"Koppelingen HW-RP, Ped-HW
tremulant"	"a1 = ca 465 Hz"	"evenredig zwevend"	"C-c3"	"C-d1"	"magazijnbalg"	"71 mm"	"voorzijde hoofdwerkkas"
"Part02_034BERGE"	""	"a1 = 440 Hz"	"evenredig zwevend"	"CD-d3"	"C-d"	"magazijnbalg"	"60 mm"	"voorzijde"
"Part02_020DECOC"	""	"a1 = 440 Hz"	"evenredig zwevend"	"C-c3"	"C-e"	"magazijnbalg"	"67 mm"	""
"Part02_110BARNE"	"koppelingen HW-RP, Ped-HW, Ped-RP
tremulanten HW, RP (pneumatisch)"	"a1 = 440 Hz"	"evenredig zwevend"	"C-c3"	"C-d1"	"magazijnbalg"	"71 mm"	"voorzijde hoofdkas"
"Part02_102ALKMA"	"koppelingen HW-BW, Ped-Hw
tremulant"	"a1 = 440 Hz"	"evenredig zwevend"	"C-f3"	"C-d1"	"magazijnbalg"	"90 mm"	"linkerzijde"
"Part02_042KAMPE"	"koppelingen HW-RP, HW-BW, BW-BW II, BW-BoW (schuifk.), Ped-HW
tremulanten RP, BW I, BoW
calcant
windlossing
afsluiters HW, RP, BW, BoW, Ped"	"1/2 toon hoger dan a1 = 435 Hz"	"evenredig zwevend"	"C-c3"	"C-d1"	"zeven spaanbalgen (Hinsz)"	"70 mm"	"voorzijde hoofdkas"
"Part02_090DEIL"	"ventiel"	"a1 = 435 Hz"	"Neidhardt"	"C-f3"	"C-a"	"magazijnbalg"	"61 mm"	"achterzijde"
"Part02_054NIEUW"	"koppeling Ped-Man
tremulant"	"1/4 toon boven a1 = 440 Hz"	"evenredig zwevend"	"C-f3"	"C-d1"	"magazijnbalg"	"70 mm"	"linkerzijde"
"Part02_011ZANDE"	"trekkoppel HW-RP
opliggende tremulant 
Wind (= motorschakelaar)
Afsluiters HW en RP"	"a1 = ca 445 Hz"	"Werckmeister III"	"C-c3"	"C-d1"	"magazijnbalg met handpompinstallatie"	"76 mm"	"voorzijde hoofdkas"
"Part02_025ZAAND"	"koppelingen HW-ZwW, Ped-HW, Ped-ZwW
drie vaste combinaties"	"a1 = 435 Hz"	"evenredig zwevend"	"C-f3"	"C-d1"	"magazijnbalg"	""	"vrijstaande speeltafel rechts naast het orgel"
"Part02_079UDEN"	""	"a1 = 420 Hz"	"evenredig zwevend"	"C-f3"	"C-h"	"magazijnbalg"	"70 mm"	"linkerzijde"
"Part02_129SITTA"	""	"a1 = 440 Hz"	"evenredig zwevend"	"C-c3"	""	"magazijnbalg"	"61 mm"	"rechterzijde"
"Part02_022HERTO"	""	""	""	""	""	""	""	""
"Part02_092ITTER"	""	"a1 = 453 Hz"	"evenredig zwevend"	"C-c3"	"C-f"	"kleine spaanbalg onder in de kas"	"57 mm"	"voorzijde"
"Part02_052KORTG"	"tremulant"	"a1 = 443 Hz"	"evenredig zwevend"	"C-c3"	"C-d1"	"magazijnbalg"	"73 mm"	"achterzijde"
"Part02_082SCHAL"	"tremulant
ventiel"	"a1 = 415 Hz"	"evenredig zwevend"	"C-d3"	"C-c1"	"drie spaanbalgen"	"65 mm"	""
"Part02_009ESCHA"	""	"a1 = ca 410 Hz"	"evenredig zwevend"	"CD-f3"	"C-d"	"magazijnbalg (spaanbalg van Smits buiten werking)"	"51 mm"	"voorzijde (uit het midden)"
"Part02_118UTRPI"	""	"a1 = 443 Hz"	"Werckmeister"	"C-d3"	""	"magazijnbalg"	"45 mm"	"voorzijde"
"Part02_017WOLVE"	"tremulant
afsluiter"	""	"Werckmeister"	"C-c3"	"C-"	"rechtopgaande balg in onderkas"	"75 mm"	""
"Part02_101TZUM"	"koppeling HW-RP (schuifkoppel)
tremulant
twee afsluiters"	"a1 = 415 Hz"	"naar Werckmeister"	"C-d2"	"C-d1"	"magazijnbalg"	"65 mm"	"voorzijde hoofdkas"
"Part02_044APPIN"	"koppeling HW-RP (schuifkoppel)
tremulant (opliggend)
twee afsluiters"	"a1 = ca 450 Hz"	"Young"	"C-c3"	"C-d1"	"drie spaanbalgen (Hinsz)"	"78 mm"	"voorzijde hoofdkas"
"Part02_072EZING"	"windlosser"	"a1 = ca 465 Hz"	"Neidhardt I"	"C-c3"	""	"magazijnbalg met handpompinstallatie"	"niet te meten"	"achterzijde"
"Part02_048MIJNS"	"koppelingen HW-RP, Ped-HW, Ped-RP
tremulant"	"a1 = 450 Hz"	"evenredig zwevend"	"C-c3"	"C-d1"	"twee spaanbalgen"	"wegens restauratie niet bekend"	"voorzijde hoofdkas"
"Part02_029BRONK"	"tremulant
ventiel"	"a1 = 421 Hz"	"evenredig zwevend"	"C-c3"	""	"magazijnbalg"	"50 mm"	"voorzijde"
"Part02_111KATWR"	"koppeling Ped-HW"	"a1 = 440 Hz"	"evenredig zwevend"	"C-f3"	"C-c1"	"magazijnbalg"	"72 mm"	"achterzijde"
"Part02_121LEEUW"	""	"a1 = 440 Hz"	"evenredig zwevend"	"C-f3"	"C-f"	"spaanbalg gekoppeld aan schepbalg"	"50 mm"	"voorzijde"
"Part02_075VLIJM"	""	"a1 = 410 Hz"	""	"C-f3"	"C-e"	""	""	"voorzijde"
"Part02_026HAARL"	"koppelingen HW-BW, HW-RP, Ped-HW, Ped-RP, Ped-BW
tremulanten RP en BW
afsluiters HW en Ped (in werkelijkheid tractuurversperringen)"	"a1 = 435 Hz."	"evenredig zwevend"	"C-d3"	"C-f1"	"reguleerbalgen en schokbrekers (Marcussen), drie magazijnbalgen (Maarschalkerweerd) als reservoirs gehandhaafd."	"HW en BW 82 mm, RP 81 mm, Ped 90 mm."	"voorzijde hoofdkas"
